Interval [s],Power [kW]
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
